replicate,scientist_work,n,p_hat
8446,Doesn't benefit,5,0.1
8447,Doesn't benefit,13,0.26
8448,Doesn't benefit,12,0.24
8449,Doesn't benefit,12,0.24
8450,Doesn't benefit,16,0.32
8451,Doesn't benefit,12,0.24
8452,Doesn't benefit,13,0.26
8453,Doesn't benefit,10,0.2
8454,Doesn't benefit,8,0.16
8455,Doesn't benefit,7,0.14
8456,Doesn't benefit,10,0.2
8457,Doesn't benefit,12,0.24
8458,Doesn't benefit,15,0.3
8459,Doesn't benefit,9,0.18
8460,Doesn't benefit,12,0.24
8461,Doesn't benefit,9,0.18
8462,Doesn't benefit,7,0.14
8463,Doesn't benefit,10,0.2
8464,Doesn't benefit,17,0.34
8465,Doesn't benefit,8,0.16
8466,Doesn't benefit,11,0.22
8467,Doesn't benefit,12,0.24
8468,Doesn't benefit,10,0.2
8469,Doesn't benefit,11,0.22
8470,Doesn't benefit,14,0.28
8471,Doesn't benefit,9,0.18
8472,Doesn't benefit,7,0.14
8473,Doesn't benefit,7,0.14
8474,Doesn't benefit,8,0.16
8475,Doesn't benefit,14,0.28
8476,Doesn't benefit,8,0.16
8477,Doesn't benefit,15,0.3
8478,Doesn't benefit,8,0.16
8479,Doesn't benefit,11,0.22
8480,Doesn't benefit,10,0.2
8481,Doesn't benefit,4,0.08
8482,Doesn't benefit,12,0.24
8483,Doesn't benefit,7,0.14
8484,Doesn't benefit,5,0.1
8485,Doesn't benefit,9,0.18
8486,Doesn't benefit,7,0.14
8487,Doesn't benefit,10,0.2
8488,Doesn't benefit,9,0.18
8489,Doesn't benefit,7,0.14
8490,Doesn't benefit,5,0.1
8491,Doesn't benefit,11,0.22
8492,Doesn't benefit,10,0.2
8493,Doesn't benefit,12,0.24
8494,Doesn't benefit,9,0.18
8495,Doesn't benefit,9,0.18
8496,Doesn't benefit,9,0.18
8497,Doesn't benefit,10,0.2
8498,Doesn't benefit,14,0.28
8499,Doesn't benefit,6,0.12
8500,Doesn't benefit,6,0.12
8501,Doesn't benefit,7,0.14
8502,Doesn't benefit,8,0.16
8503,Doesn't benefit,16,0.32
8504,Doesn't benefit,8,0.16
8505,Doesn't benefit,8,0.16
8506,Doesn't benefit,12,0.24
8507,Doesn't benefit,3,0.06
8508,Doesn't benefit,8,0.16
8509,Doesn't benefit,16,0.32
8510,Doesn't benefit,9,0.18
8511,Doesn't benefit,7,0.14
8512,Doesn't benefit,11,0.22
8513,Doesn't benefit,6,0.12
8514,Doesn't benefit,15,0.3
8515,Doesn't benefit,10,0.2
8516,Doesn't benefit,7,0.14
8517,Doesn't benefit,15,0.3
8518,Doesn't benefit,13,0.26
8519,Doesn't benefit,7,0.14
8520,Doesn't benefit,12,0.24
8521,Doesn't benefit,10,0.2
8522,Doesn't benefit,11,0.22
8523,Doesn't benefit,9,0.18
8524,Doesn't benefit,9,0.18
8525,Doesn't benefit,9,0.18
8526,Doesn't benefit,8,0.16
8527,Doesn't benefit,8,0.16
8528,Doesn't benefit,10,0.2
8529,Doesn't benefit,10,0.2
8530,Doesn't benefit,4,0.08
8531,Doesn't benefit,4,0.08
8532,Doesn't benefit,10,0.2
8533,Doesn't benefit,8,0.16
8534,Doesn't benefit,7,0.14
8535,Doesn't benefit,11,0.22
8536,Doesn't benefit,10,0.2
8537,Doesn't benefit,8,0.16
8538,Doesn't benefit,12,0.24
8539,Doesn't benefit,4,0.08
8540,Doesn't benefit,9,0.18
8541,Doesn't benefit,11,0.22
8542,Doesn't benefit,8,0.16
8543,Doesn't benefit,12,0.24
8544,Doesn't benefit,15,0.3
8545,Doesn't benefit,8,0.16
8546,Doesn't benefit,11,0.22
8547,Doesn't benefit,7,0.14
8548,Doesn't benefit,10,0.2
8549,Doesn't benefit,13,0.26
8550,Doesn't benefit,12,0.24
8551,Doesn't benefit,12,0.24
8552,Doesn't benefit,13,0.26
8553,Doesn't benefit,9,0.18
8554,Doesn't benefit,7,0.14
8555,Doesn't benefit,10,0.2
8556,Doesn't benefit,8,0.16
8557,Doesn't benefit,5,0.1
8558,Doesn't benefit,9,0.18
8559,Doesn't benefit,9,0.18
8560,Doesn't benefit,8,0.16
8561,Doesn't benefit,13,0.26
8562,Doesn't benefit,6,0.12
8563,Doesn't benefit,10,0.2
8564,Doesn't benefit,10,0.2
8565,Doesn't benefit,11,0.22
8566,Doesn't benefit,10,0.2
8567,Doesn't benefit,10,0.2
8568,Doesn't benefit,11,0.22
8569,Doesn't benefit,15,0.3
8570,Doesn't benefit,9,0.18
8571,Doesn't benefit,12,0.24
8572,Doesn't benefit,9,0.18
8573,Doesn't benefit,6,0.12
8574,Doesn't benefit,12,0.24
8575,Doesn't benefit,7,0.14
8576,Doesn't benefit,10,0.2
8577,Doesn't benefit,9,0.18
8578,Doesn't benefit,10,0.2
8579,Doesn't benefit,14,0.28
8580,Doesn't benefit,13,0.26
8581,Doesn't benefit,13,0.26
8582,Doesn't benefit,8,0.16
8583,Doesn't benefit,11,0.22
8584,Doesn't benefit,18,0.36
8585,Doesn't benefit,11,0.22
8586,Doesn't benefit,10,0.2
8587,Doesn't benefit,15,0.3
8588,Doesn't benefit,9,0.18
8589,Doesn't benefit,10,0.2
8590,Doesn't benefit,11,0.22
8591,Doesn't benefit,11,0.22
8592,Doesn't benefit,8,0.16
8593,Doesn't benefit,4,0.08
8594,Doesn't benefit,10,0.2
8595,Doesn't benefit,7,0.14
8596,Doesn't benefit,13,0.26
8597,Doesn't benefit,13,0.26
8598,Doesn't benefit,8,0.16
8599,Doesn't benefit,8,0.16
8600,Doesn't benefit,11,0.22
8601,Doesn't benefit,5,0.1
8602,Doesn't benefit,9,0.18
8603,Doesn't benefit,12,0.24
8604,Doesn't benefit,8,0.16
8605,Doesn't benefit,14,0.28
8606,Doesn't benefit,14,0.28
8607,Doesn't benefit,6,0.12
8608,Doesn't benefit,11,0.22
8609,Doesn't benefit,4,0.08
8610,Doesn't benefit,10,0.2
8611,Doesn't benefit,8,0.16
8612,Doesn't benefit,7,0.14
8613,Doesn't benefit,13,0.26
8614,Doesn't benefit,16,0.32
8615,Doesn't benefit,3,0.06
8616,Doesn't benefit,12,0.24
8617,Doesn't benefit,9,0.18
8618,Doesn't benefit,5,0.1
8619,Doesn't benefit,11,0.22
8620,Doesn't benefit,10,0.2
8621,Doesn't benefit,13,0.26
8622,Doesn't benefit,10,0.2
8623,Doesn't benefit,11,0.22
8624,Doesn't benefit,9,0.18
8625,Doesn't benefit,10,0.2
8626,Doesn't benefit,6,0.12
8627,Doesn't benefit,12,0.24
8628,Doesn't benefit,10,0.2
8629,Doesn't benefit,7,0.14
8630,Doesn't benefit,16,0.32
8631,Doesn't benefit,16,0.32
8632,Doesn't benefit,7,0.14
8633,Doesn't benefit,10,0.2
8634,Doesn't benefit,8,0.16
8635,Doesn't benefit,15,0.3
8636,Doesn't benefit,11,0.22
8637,Doesn't benefit,13,0.26
8638,Doesn't benefit,9,0.18
8639,Doesn't benefit,10,0.2
8640,Doesn't benefit,9,0.18
8641,Doesn't benefit,7,0.14
8642,Doesn't benefit,13,0.26
8643,Doesn't benefit,14,0.28
8644,Doesn't benefit,8,0.16
8645,Doesn't benefit,9,0.18
8646,Doesn't benefit,4,0.08
8647,Doesn't benefit,15,0.3
8648,Doesn't benefit,14,0.28
8649,Doesn't benefit,10,0.2
8650,Doesn't benefit,9,0.18
8651,Doesn't benefit,11,0.22
8652,Doesn't benefit,7,0.14
8653,Doesn't benefit,11,0.22
8654,Doesn't benefit,7,0.14
8655,Doesn't benefit,9,0.18
8656,Doesn't benefit,14,0.28
8657,Doesn't benefit,11,0.22
8658,Doesn't benefit,7,0.14
8659,Doesn't benefit,8,0.16
8660,Doesn't benefit,5,0.1
8661,Doesn't benefit,10,0.2
8662,Doesn't benefit,9,0.18
8663,Doesn't benefit,10,0.2
8664,Doesn't benefit,9,0.18
8665,Doesn't benefit,12,0.24
8666,Doesn't benefit,7,0.14
8667,Doesn't benefit,8,0.16
8668,Doesn't benefit,14,0.28
8669,Doesn't benefit,10,0.2
8670,Doesn't benefit,10,0.2
8671,Doesn't benefit,6,0.12
8672,Doesn't benefit,10,0.2
8673,Doesn't benefit,14,0.28
8674,Doesn't benefit,5,0.1
8675,Doesn't benefit,10,0.2
8676,Doesn't benefit,12,0.24
8677,Doesn't benefit,13,0.26
8678,Doesn't benefit,6,0.12
8679,Doesn't benefit,10,0.2
8680,Doesn't benefit,13,0.26
8681,Doesn't benefit,9,0.18
8682,Doesn't benefit,7,0.14
8683,Doesn't benefit,11,0.22
8684,Doesn't benefit,9,0.18
8685,Doesn't benefit,10,0.2
8686,Doesn't benefit,6,0.12
8687,Doesn't benefit,9,0.18
8688,Doesn't benefit,7,0.14
8689,Doesn't benefit,9,0.18
8690,Doesn't benefit,7,0.14
8691,Doesn't benefit,10,0.2
8692,Doesn't benefit,11,0.22
8693,Doesn't benefit,8,0.16
8694,Doesn't benefit,7,0.14
8695,Doesn't benefit,9,0.18
8696,Doesn't benefit,12,0.24
8697,Doesn't benefit,16,0.32
8698,Doesn't benefit,9,0.18
8699,Doesn't benefit,8,0.16
8700,Doesn't benefit,7,0.14
8701,Doesn't benefit,15,0.3
8702,Doesn't benefit,12,0.24
8703,Doesn't benefit,12,0.24
8704,Doesn't benefit,10,0.2
8705,Doesn't benefit,7,0.14
8706,Doesn't benefit,11,0.22
8707,Doesn't benefit,9,0.18
8708,Doesn't benefit,10,0.2
8709,Doesn't benefit,11,0.22
8710,Doesn't benefit,8,0.16
8711,Doesn't benefit,15,0.3
8712,Doesn't benefit,11,0.22
8713,Doesn't benefit,11,0.22
8714,Doesn't benefit,10,0.2
8715,Doesn't benefit,8,0.16
8716,Doesn't benefit,12,0.24
8717,Doesn't benefit,7,0.14
8718,Doesn't benefit,12,0.24
8719,Doesn't benefit,10,0.2
8720,Doesn't benefit,9,0.18
8721,Doesn't benefit,3,0.06
8722,Doesn't benefit,10,0.2
8723,Doesn't benefit,8,0.16
8724,Doesn't benefit,13,0.26
8725,Doesn't benefit,13,0.26
8726,Doesn't benefit,14,0.28
8727,Doesn't benefit,8,0.16
8728,Doesn't benefit,8,0.16
8729,Doesn't benefit,10,0.2
8730,Doesn't benefit,7,0.14
8731,Doesn't benefit,11,0.22
8732,Doesn't benefit,8,0.16
8733,Doesn't benefit,13,0.26
8734,Doesn't benefit,8,0.16
8735,Doesn't benefit,13,0.26
8736,Doesn't benefit,9,0.18
8737,Doesn't benefit,10,0.2
8738,Doesn't benefit,14,0.28
8739,Doesn't benefit,12,0.24
8740,Doesn't benefit,13,0.26
8741,Doesn't benefit,9,0.18
8742,Doesn't benefit,2,0.04
8743,Doesn't benefit,14,0.28
8744,Doesn't benefit,12,0.24
8745,Doesn't benefit,10,0.2
8746,Doesn't benefit,12,0.24
8747,Doesn't benefit,7,0.14
8748,Doesn't benefit,11,0.22
8749,Doesn't benefit,8,0.16
8750,Doesn't benefit,9,0.18
8751,Doesn't benefit,12,0.24
8752,Doesn't benefit,11,0.22
8753,Doesn't benefit,8,0.16
8754,Doesn't benefit,10,0.2
8755,Doesn't benefit,13,0.26
8756,Doesn't benefit,12,0.24
8757,Doesn't benefit,18,0.36
8758,Doesn't benefit,14,0.28
8759,Doesn't benefit,10,0.2
8760,Doesn't benefit,8,0.16
8761,Doesn't benefit,10,0.2
8762,Doesn't benefit,8,0.16
8763,Doesn't benefit,11,0.22
8764,Doesn't benefit,8,0.16
8765,Doesn't benefit,13,0.26
8766,Doesn't benefit,10,0.2
8767,Doesn't benefit,12,0.24
8768,Doesn't benefit,7,0.14
8769,Doesn't benefit,6,0.12
8770,Doesn't benefit,16,0.32
8771,Doesn't benefit,9,0.18
8772,Doesn't benefit,11,0.22
8773,Doesn't benefit,9,0.18
8774,Doesn't benefit,8,0.16
8775,Doesn't benefit,11,0.22
8776,Doesn't benefit,7,0.14
8777,Doesn't benefit,8,0.16
8778,Doesn't benefit,12,0.24
8779,Doesn't benefit,7,0.14
8780,Doesn't benefit,13,0.26
8781,Doesn't benefit,13,0.26
8782,Doesn't benefit,6,0.12
8783,Doesn't benefit,10,0.2
8784,Doesn't benefit,13,0.26
8785,Doesn't benefit,12,0.24
8786,Doesn't benefit,12,0.24
8787,Doesn't benefit,9,0.18
8788,Doesn't benefit,12,0.24
8789,Doesn't benefit,11,0.22
8790,Doesn't benefit,8,0.16
8791,Doesn't benefit,6,0.12
8792,Doesn't benefit,12,0.24
8793,Doesn't benefit,13,0.26
8794,Doesn't benefit,9,0.18
8795,Doesn't benefit,15,0.3
8796,Doesn't benefit,17,0.34
8797,Doesn't benefit,11,0.22
8798,Doesn't benefit,9,0.18
8799,Doesn't benefit,5,0.1
8800,Doesn't benefit,12,0.24
8801,Doesn't benefit,9,0.18
8802,Doesn't benefit,9,0.18
8803,Doesn't benefit,10,0.2
8804,Doesn't benefit,12,0.24
8805,Doesn't benefit,12,0.24
8806,Doesn't benefit,13,0.26
8807,Doesn't benefit,7,0.14
8808,Doesn't benefit,9,0.18
8809,Doesn't benefit,8,0.16
8810,Doesn't benefit,9,0.18
8811,Doesn't benefit,11,0.22
8812,Doesn't benefit,8,0.16
8813,Doesn't benefit,14,0.28
8814,Doesn't benefit,11,0.22
8815,Doesn't benefit,9,0.18
8816,Doesn't benefit,9,0.18
8817,Doesn't benefit,13,0.26
8818,Doesn't benefit,6,0.12
8819,Doesn't benefit,11,0.22
8820,Doesn't benefit,12,0.24
8821,Doesn't benefit,9,0.18
8822,Doesn't benefit,9,0.18
8823,Doesn't benefit,9,0.18
8824,Doesn't benefit,10,0.2
8825,Doesn't benefit,8,0.16
8826,Doesn't benefit,11,0.22
8827,Doesn't benefit,4,0.08
8828,Doesn't benefit,8,0.16
8829,Doesn't benefit,7,0.14
8830,Doesn't benefit,15,0.3
8831,Doesn't benefit,8,0.16
8832,Doesn't benefit,12,0.24
8833,Doesn't benefit,10,0.2
8834,Doesn't benefit,10,0.2
8835,Doesn't benefit,10,0.2
8836,Doesn't benefit,13,0.26
8837,Doesn't benefit,5,0.1
8838,Doesn't benefit,13,0.26
8839,Doesn't benefit,10,0.2
8840,Doesn't benefit,6,0.12
8841,Doesn't benefit,4,0.08
8842,Doesn't benefit,13,0.26
8843,Doesn't benefit,11,0.22
8844,Doesn't benefit,6,0.12
8845,Doesn't benefit,9,0.18
8846,Doesn't benefit,9,0.18
8847,Doesn't benefit,12,0.24
8848,Doesn't benefit,9,0.18
8849,Doesn't benefit,13,0.26
8850,Doesn't benefit,12,0.24
8851,Doesn't benefit,15,0.3
8852,Doesn't benefit,9,0.18
8853,Doesn't benefit,9,0.18
8854,Doesn't benefit,9,0.18
8855,Doesn't benefit,10,0.2
8856,Doesn't benefit,5,0.1
8857,Doesn't benefit,14,0.28
8858,Doesn't benefit,9,0.18
8859,Doesn't benefit,13,0.26
8860,Doesn't benefit,11,0.22
8861,Doesn't benefit,17,0.34
8862,Doesn't benefit,6,0.12
8863,Doesn't benefit,12,0.24
8864,Doesn't benefit,8,0.16
8865,Doesn't benefit,8,0.16
8866,Doesn't benefit,5,0.1
8867,Doesn't benefit,12,0.24
8868,Doesn't benefit,8,0.16
8869,Doesn't benefit,5,0.1
8870,Doesn't benefit,14,0.28
8871,Doesn't benefit,6,0.12
8872,Doesn't benefit,7,0.14
8873,Doesn't benefit,13,0.26
8874,Doesn't benefit,7,0.14
8875,Doesn't benefit,8,0.16
8876,Doesn't benefit,13,0.26
8877,Doesn't benefit,7,0.14
8878,Doesn't benefit,9,0.18
8879,Doesn't benefit,9,0.18
8880,Doesn't benefit,6,0.12
8881,Doesn't benefit,12,0.24
8882,Doesn't benefit,11,0.22
8883,Doesn't benefit,7,0.14
8884,Doesn't benefit,8,0.16
8885,Doesn't benefit,11,0.22
8886,Doesn't benefit,9,0.18
8887,Doesn't benefit,7,0.14
8888,Doesn't benefit,11,0.22
8889,Doesn't benefit,10,0.2
8890,Doesn't benefit,17,0.34
8891,Doesn't benefit,10,0.2
8892,Doesn't benefit,7,0.14
8893,Doesn't benefit,10,0.2
8894,Doesn't benefit,14,0.28
8895,Doesn't benefit,6,0.12
8896,Doesn't benefit,14,0.28
8897,Doesn't benefit,10,0.2
8898,Doesn't benefit,11,0.22
8899,Doesn't benefit,7,0.14
8900,Doesn't benefit,10,0.2
8901,Doesn't benefit,7,0.14
8902,Doesn't benefit,5,0.1
8903,Doesn't benefit,11,0.22
8904,Doesn't benefit,15,0.3
8905,Doesn't benefit,9,0.18
8906,Doesn't benefit,4,0.08
8907,Doesn't benefit,10,0.2
8908,Doesn't benefit,12,0.24
8909,Doesn't benefit,12,0.24
8910,Doesn't benefit,10,0.2
8911,Doesn't benefit,3,0.06
8912,Doesn't benefit,8,0.16
8913,Doesn't benefit,12,0.24
8914,Doesn't benefit,10,0.2
8915,Doesn't benefit,8,0.16
8916,Doesn't benefit,9,0.18
8917,Doesn't benefit,9,0.18
8918,Doesn't benefit,11,0.22
8919,Doesn't benefit,9,0.18
8920,Doesn't benefit,6,0.12
8921,Doesn't benefit,11,0.22
8922,Doesn't benefit,14,0.28
8923,Doesn't benefit,10,0.2
8924,Doesn't benefit,13,0.26
8925,Doesn't benefit,9,0.18
8926,Doesn't benefit,4,0.08
8927,Doesn't benefit,11,0.22
8928,Doesn't benefit,9,0.18
8929,Doesn't benefit,7,0.14
8930,Doesn't benefit,10,0.2
8931,Doesn't benefit,7,0.14
8932,Doesn't benefit,8,0.16
8933,Doesn't benefit,10,0.2
8934,Doesn't benefit,8,0.16
8935,Doesn't benefit,7,0.14
8936,Doesn't benefit,12,0.24
8937,Doesn't benefit,5,0.1
8938,Doesn't benefit,5,0.1
8939,Doesn't benefit,10,0.2
8940,Doesn't benefit,10,0.2
8941,Doesn't benefit,11,0.22
8942,Doesn't benefit,8,0.16
8943,Doesn't benefit,12,0.24
8944,Doesn't benefit,9,0.18
8945,Doesn't benefit,11,0.22
8946,Doesn't benefit,7,0.14
8947,Doesn't benefit,11,0.22
8948,Doesn't benefit,7,0.14
8949,Doesn't benefit,9,0.18
8950,Doesn't benefit,5,0.1
8951,Doesn't benefit,8,0.16
8952,Doesn't benefit,16,0.32
8953,Doesn't benefit,11,0.22
8954,Doesn't benefit,6,0.12
8955,Doesn't benefit,8,0.16
8956,Doesn't benefit,15,0.3
8957,Doesn't benefit,7,0.14
8958,Doesn't benefit,13,0.26
8959,Doesn't benefit,7,0.14
8960,Doesn't benefit,9,0.18
8961,Doesn't benefit,10,0.2
8962,Doesn't benefit,10,0.2
8963,Doesn't benefit,12,0.24
8964,Doesn't benefit,12,0.24
8965,Doesn't benefit,11,0.22
8966,Doesn't benefit,6,0.12
8967,Doesn't benefit,9,0.18
8968,Doesn't benefit,6,0.12
8969,Doesn't benefit,8,0.16
8970,Doesn't benefit,12,0.24
8971,Doesn't benefit,15,0.3
8972,Doesn't benefit,8,0.16
8973,Doesn't benefit,14,0.28
8974,Doesn't benefit,7,0.14
8975,Doesn't benefit,7,0.14
8976,Doesn't benefit,8,0.16
8977,Doesn't benefit,8,0.16
8978,Doesn't benefit,11,0.22
8979,Doesn't benefit,9,0.18
8980,Doesn't benefit,10,0.2
8981,Doesn't benefit,15,0.3
8982,Doesn't benefit,9,0.18
8983,Doesn't benefit,11,0.22
8984,Doesn't benefit,9,0.18
8985,Doesn't benefit,14,0.28
8986,Doesn't benefit,9,0.18
8987,Doesn't benefit,11,0.22
8988,Doesn't benefit,12,0.24
8989,Doesn't benefit,13,0.26
8990,Doesn't benefit,9,0.18
8991,Doesn't benefit,7,0.14
8992,Doesn't benefit,13,0.26
8993,Doesn't benefit,17,0.34
8994,Doesn't benefit,11,0.22
8995,Doesn't benefit,12,0.24
8996,Doesn't benefit,7,0.14
8997,Doesn't benefit,8,0.16
8998,Doesn't benefit,6,0.12
8999,Doesn't benefit,8,0.16
9000,Doesn't benefit,14,0.28
9001,Doesn't benefit,10,0.2
9002,Doesn't benefit,9,0.18
9003,Doesn't benefit,9,0.18
9004,Doesn't benefit,12,0.24
9005,Doesn't benefit,6,0.12
9006,Doesn't benefit,11,0.22
9007,Doesn't benefit,13,0.26
9008,Doesn't benefit,9,0.18
9009,Doesn't benefit,11,0.22
9010,Doesn't benefit,7,0.14
9011,Doesn't benefit,6,0.12
9012,Doesn't benefit,9,0.18
9013,Doesn't benefit,8,0.16
9014,Doesn't benefit,5,0.1
9015,Doesn't benefit,8,0.16
9016,Doesn't benefit,8,0.16
9017,Doesn't benefit,8,0.16
9018,Doesn't benefit,12,0.24
9019,Doesn't benefit,9,0.18
9020,Doesn't benefit,14,0.28
9021,Doesn't benefit,10,0.2
9022,Doesn't benefit,12,0.24
9023,Doesn't benefit,7,0.14
9024,Doesn't benefit,4,0.08
9025,Doesn't benefit,7,0.14
9026,Doesn't benefit,8,0.16
9027,Doesn't benefit,9,0.18
9028,Doesn't benefit,5,0.1
9029,Doesn't benefit,12,0.24
9030,Doesn't benefit,6,0.12
9031,Doesn't benefit,11,0.22
9032,Doesn't benefit,15,0.3
9033,Doesn't benefit,14,0.28
9034,Doesn't benefit,12,0.24
9035,Doesn't benefit,11,0.22
9036,Doesn't benefit,7,0.14
9037,Doesn't benefit,15,0.3
9038,Doesn't benefit,7,0.14
9039,Doesn't benefit,10,0.2
9040,Doesn't benefit,9,0.18
9041,Doesn't benefit,11,0.22
9042,Doesn't benefit,8,0.16
9043,Doesn't benefit,7,0.14
9044,Doesn't benefit,12,0.24
9045,Doesn't benefit,8,0.16
9046,Doesn't benefit,10,0.2
9047,Doesn't benefit,10,0.2
9048,Doesn't benefit,10,0.2
9049,Doesn't benefit,17,0.34
9050,Doesn't benefit,12,0.24
9051,Doesn't benefit,6,0.12
9052,Doesn't benefit,13,0.26
9053,Doesn't benefit,18,0.36
9054,Doesn't benefit,11,0.22
9055,Doesn't benefit,10,0.2
9056,Doesn't benefit,11,0.22
9057,Doesn't benefit,8,0.16
9058,Doesn't benefit,8,0.16
9059,Doesn't benefit,12,0.24
9060,Doesn't benefit,9,0.18
9061,Doesn't benefit,10,0.2
9062,Doesn't benefit,6,0.12
9063,Doesn't benefit,11,0.22
9064,Doesn't benefit,12,0.24
9065,Doesn't benefit,10,0.2
9066,Doesn't benefit,9,0.18
9067,Doesn't benefit,12,0.24
9068,Doesn't benefit,6,0.12
9069,Doesn't benefit,7,0.14
9070,Doesn't benefit,9,0.18
9071,Doesn't benefit,13,0.26
9072,Doesn't benefit,12,0.24
9073,Doesn't benefit,15,0.3
9074,Doesn't benefit,9,0.18
9075,Doesn't benefit,15,0.3
9076,Doesn't benefit,8,0.16
9077,Doesn't benefit,9,0.18
9078,Doesn't benefit,7,0.14
9079,Doesn't benefit,10,0.2
9080,Doesn't benefit,10,0.2
9081,Doesn't benefit,9,0.18
9082,Doesn't benefit,6,0.12
9083,Doesn't benefit,13,0.26
9084,Doesn't benefit,9,0.18
9085,Doesn't benefit,11,0.22
9086,Doesn't benefit,4,0.08
9087,Doesn't benefit,8,0.16
9088,Doesn't benefit,11,0.22
9089,Doesn't benefit,7,0.14
9090,Doesn't benefit,6,0.12
9091,Doesn't benefit,12,0.24
9092,Doesn't benefit,7,0.14
9093,Doesn't benefit,10,0.2
9094,Doesn't benefit,11,0.22
9095,Doesn't benefit,14,0.28
9096,Doesn't benefit,8,0.16
9097,Doesn't benefit,11,0.22
9098,Doesn't benefit,10,0.2
9099,Doesn't benefit,8,0.16
9100,Doesn't benefit,10,0.2
9101,Doesn't benefit,11,0.22
9102,Doesn't benefit,11,0.22
9103,Doesn't benefit,9,0.18
9104,Doesn't benefit,12,0.24
9105,Doesn't benefit,12,0.24
9106,Doesn't benefit,12,0.24
9107,Doesn't benefit,7,0.14
9108,Doesn't benefit,6,0.12
9109,Doesn't benefit,10,0.2
9110,Doesn't benefit,9,0.18
9111,Doesn't benefit,11,0.22
9112,Doesn't benefit,6,0.12
9113,Doesn't benefit,10,0.2
9114,Doesn't benefit,12,0.24
9115,Doesn't benefit,10,0.2
9116,Doesn't benefit,13,0.26
9117,Doesn't benefit,8,0.16
9118,Doesn't benefit,9,0.18
9119,Doesn't benefit,12,0.24
9120,Doesn't benefit,12,0.24
9121,Doesn't benefit,15,0.3
9122,Doesn't benefit,8,0.16
9123,Doesn't benefit,13,0.26
9124,Doesn't benefit,10,0.2
9125,Doesn't benefit,10,0.2
9126,Doesn't benefit,10,0.2
9127,Doesn't benefit,11,0.22
9128,Doesn't benefit,13,0.26
9129,Doesn't benefit,8,0.16
9130,Doesn't benefit,11,0.22
9131,Doesn't benefit,5,0.1
9132,Doesn't benefit,12,0.24
9133,Doesn't benefit,8,0.16
9134,Doesn't benefit,14,0.28
9135,Doesn't benefit,9,0.18
9136,Doesn't benefit,9,0.18
9137,Doesn't benefit,12,0.24
9138,Doesn't benefit,6,0.12
9139,Doesn't benefit,9,0.18
9140,Doesn't benefit,7,0.14
9141,Doesn't benefit,10,0.2
9142,Doesn't benefit,8,0.16
9143,Doesn't benefit,10,0.2
9144,Doesn't benefit,10,0.2
9145,Doesn't benefit,9,0.18
9146,Doesn't benefit,9,0.18
9147,Doesn't benefit,9,0.18
9148,Doesn't benefit,10,0.2
9149,Doesn't benefit,10,0.2
9150,Doesn't benefit,8,0.16
9151,Doesn't benefit,13,0.26
9152,Doesn't benefit,7,0.14
9153,Doesn't benefit,8,0.16
9154,Doesn't benefit,14,0.28
9155,Doesn't benefit,10,0.2
9156,Doesn't benefit,7,0.14
9157,Doesn't benefit,7,0.14
9158,Doesn't benefit,11,0.22
9159,Doesn't benefit,13,0.26
9160,Doesn't benefit,10,0.2
9161,Doesn't benefit,12,0.24
9162,Doesn't benefit,7,0.14
9163,Doesn't benefit,7,0.14
9164,Doesn't benefit,14,0.28
9165,Doesn't benefit,9,0.18
9166,Doesn't benefit,13,0.26
9167,Doesn't benefit,5,0.1
9168,Doesn't benefit,16,0.32
9169,Doesn't benefit,14,0.28
9170,Doesn't benefit,13,0.26
9171,Doesn't benefit,14,0.28
9172,Doesn't benefit,12,0.24
9173,Doesn't benefit,12,0.24
9174,Doesn't benefit,10,0.2
9175,Doesn't benefit,4,0.08
9176,Doesn't benefit,13,0.26
9177,Doesn't benefit,7,0.14
9178,Doesn't benefit,8,0.16
9179,Doesn't benefit,14,0.28
9180,Doesn't benefit,8,0.16
9181,Doesn't benefit,9,0.18
9182,Doesn't benefit,4,0.08
9183,Doesn't benefit,13,0.26
9184,Doesn't benefit,10,0.2
9185,Doesn't benefit,12,0.24
9186,Doesn't benefit,6,0.12
9187,Doesn't benefit,13,0.26
9188,Doesn't benefit,6,0.12
9189,Doesn't benefit,9,0.18
9190,Doesn't benefit,15,0.3
9191,Doesn't benefit,12,0.24
9192,Doesn't benefit,12,0.24
9193,Doesn't benefit,11,0.22
9194,Doesn't benefit,8,0.16
9195,Doesn't benefit,11,0.22
9196,Doesn't benefit,9,0.18
9197,Doesn't benefit,5,0.1
9198,Doesn't benefit,10,0.2
9199,Doesn't benefit,17,0.34
9200,Doesn't benefit,15,0.3
9201,Doesn't benefit,10,0.2
9202,Doesn't benefit,7,0.14
9203,Doesn't benefit,9,0.18
9204,Doesn't benefit,12,0.24
9205,Doesn't benefit,9,0.18
9206,Doesn't benefit,8,0.16
9207,Doesn't benefit,5,0.1
9208,Doesn't benefit,14,0.28
9209,Doesn't benefit,9,0.18
9210,Doesn't benefit,9,0.18
9211,Doesn't benefit,7,0.14
9212,Doesn't benefit,14,0.28
9213,Doesn't benefit,10,0.2
9214,Doesn't benefit,13,0.26
9215,Doesn't benefit,9,0.18
9216,Doesn't benefit,11,0.22
9217,Doesn't benefit,6,0.12
9218,Doesn't benefit,8,0.16
9219,Doesn't benefit,15,0.3
9220,Doesn't benefit,10,0.2
9221,Doesn't benefit,11,0.22
